City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Year,Month,Day,Weekday,Pollutant_Index,Anomaly
Bangalore,08-06-2015,42,432.7,189.3,108.5,86.1,30.7,0.88,1.3,77.6,403.4,Severe,2015,6,8,0,132.42,1
Delhi,09-06-2015,126.9,455.1,156.2,51.4,84.6,24.5,9.03,24.5,172.6,435.6,Severe,2015,6,9,1,166.1,1
Mumbai,09-06-2015,229.6,504.4,116.4,39.8,234.9,18.5,3.71,82.1,73.6,384.3,Very Poor,2015,6,9,1,185.9,1
Chennai,09-06-2015,77.4,483.9,52.9,19.7,177.4,27.2,3.91,38.6,2.1,476.9,Severe,2015,6,9,1,124.34,1
Kolkata,09-06-2015,437.3,510.2,79.6,49.2,195.1,20.9,6.65,10.4,174.7,215.5,Poor,2015,6,9,1,236.36,1
Bangalore,09-06-2015,428.2,460.9,179.7,127.6,165.2,44,9.2,91.8,18.3,443.9,Severe,2015,6,9,1,225.36,1
Delhi,10-06-2015,424.1,388.5,162.5,144.3,86.2,14.2,6.82,27.1,75.6,348,Very Poor,2015,6,10,2,211.92,1
Mumbai,10-06-2015,287.4,142.8,99.6,2.1,12.5,33.9,7.97,90.7,25.5,437.4,Severe,2015,6,10,2,109.7,1
Chennai,10-06-2015,189.5,529.6,96.8,138.8,17.8,40,9.52,74.8,13,353.6,Very Poor,2015,6,10,2,189.14,1
Kolkata,10-06-2015,470.2,48.4,150.9,24.1,183.6,26.1,3.43,13.6,193.5,263.2,Poor,2015,6,10,2,149.96,1
Bangalore,10-06-2015,342.5,365.6,27.5,23.5,175.3,29.8,2.52,46.7,52.4,492.5,Severe,2015,6,10,2,166.14,1
Delhi,11-06-2015,16.5,443.1,91.5,3.2,213.9,49.9,7.55,6.1,110.2,418.4,Severe,2015,6,11,3,115.82,1
Mumbai,11-06-2015,189.6,78.6,63.4,48,34.1,43.6,8.43,60.1,84.5,353.6,Very Poor,2015,6,11,3,92.16,1
Chennai,11-06-2015,154.3,228.1,43.6,52.3,239.8,40.6,8.06,0.1,129.8,326.6,Very Poor,2015,6,11,3,112.92,1
Kolkata,11-06-2015,34.9,406.8,85.8,80.1,0.6,25.1,2.05,15.2,19,370.9,Very Poor,2015,6,11,3,111.2,1
Bangalore,11-06-2015,181.4,409.7,5.3,43.3,169.7,37.2,6.2,36.4,183.5,374.6,Very Poor,2015,6,11,3,170.86,1
Delhi,12-06-2015,341.6,326.1,137.2,70.5,19.8,49.1,5.43,98.8,139.8,491.6,Severe,2015,6,12,4,195.36,1
Mumbai,12-06-2015,480.3,288.5,69.4,57.7,72.5,33.3,0.01,26,80.2,238.5,Poor,2015,6,12,4,186.54,1
Chennai,12-06-2015,463.3,3,71.7,132.1,161.8,34.2,1.65,7,188.3,250,Poor,2015,6,12,4,158.74,1
Kolkata,12-06-2015,86.8,18.7,82.3,119.3,25.6,12.1,0.78,37.5,186.7,245.9,Poor,2015,6,12,4,89.8,1
Bangalore,12-06-2015,343.7,371.3,86.8,81.6,138,31.2,2.5,80.2,146.3,493.7,Severe,2015,6,12,4,204.62,1
Delhi,13-06-2015,323.6,149.8,45.7,7.8,159.7,40.8,3.26,51.9,95.6,473.6,Severe,2015,6,13,5,125.74,1
Mumbai,13-06-2015,439,87.3,52.3,138.2,203.9,49.9,9.91,3.4,34.7,198.9,Moderate,2015,6,13,5,140.52,1
Chennai,13-06-2015,224.8,15.3,37.6,48.2,97.5,38.6,4.49,49,194.1,380.7,Very Poor,2015,6,13,5,106.28,1
Kolkata,13-06-2015,104.4,219.6,158.8,65.2,141.7,8.2,4.16,98.9,2.1,246.7,Poor,2015,6,13,5,98.04,1
Bangalore,13-06-2015,98.6,437.9,5.6,63.8,11.1,28,9.17,65.9,92.3,410.9,Severe,2015,6,13,5,151.7,1
Delhi,14-06-2015,150.5,432,104.5,125.8,154.5,9.4,8,40.6,158.4,402.4,Severe,2015,6,14,6,181.46,1
Mumbai,14-06-2015,380.8,4.4,151.2,103.6,72.9,49.2,4.89,18.5,47.3,136,Moderate,2015,6,14,6,110.92,1
Chennai,14-06-2015,56.2,502.8,44,22.7,105.3,35.2,9.76,0,61,197,Moderate,2015,6,14,6,128.54,1
Kolkata,14-06-2015,68.2,540.3,6.6,73.3,176.9,46.2,6,7,42.6,149.9,Moderate,2015,6,14,6,146.28,1
Bangalore,14-06-2015,441.3,14.2,61.1,100.8,60.2,15.7,8.17,74.3,129.5,177.1,Moderate,2015,6,14,6,152.02,1
Delhi,15-06-2015,181,94.7,59.1,55.7,161.9,46.6,5.51,62.9,154,347,Very Poor,2015,6,15,0,109.66,1
Mumbai,15-06-2015,103.8,85.8,96.7,78.8,150,33.3,0.14,50.7,161.6,244.7,Poor,2015,6,15,0,96.14,1
Chennai,15-06-2015,274,357.4,91.8,41.9,115.2,33.5,2.17,89.6,24.5,424,Severe,2015,6,15,0,157.48,1
Kolkata,15-06-2015,483.3,523.7,20.3,38,204.7,47.8,3.29,9.5,125.5,137.2,Moderate,2015,6,15,0,236,1
Bangalore,15-06-2015,194,507.3,141.3,77.8,199.2,40.3,1.45,82.1,144.8,357,Very Poor,2015,6,15,0,201.2,1
Delhi,16-06-2015,335.7,3.7,131.3,17.4,47.1,33.3,7.7,22.9,156.7,485.7,Severe,2015,6,16,1,107.28,1
Mumbai,16-06-2015,270,333.4,69.6,29.5,148.6,0.8,5.02,90.7,42.4,420,Severe,2015,6,16,1,153.2,1
Chennai,16-06-2015,370.7,262.3,175.1,135.6,184.8,42.8,6.69,33.9,90.5,212.3,Poor,2015,6,16,1,178.6,1
Kolkata,16-06-2015,105.6,495.4,135.4,124,56.1,19.3,4.27,61.6,188.1,493.4,Severe,2015,6,16,1,194.94,1
Bangalore,16-06-2015,482.6,320.9,77.7,0.9,38.2,37,7.36,62.6,184.8,270.9,Poor,2015,6,16,1,210.36,1
Delhi,17-06-2015,109.8,327.5,92,82,6.3,13.6,8.14,38.3,2.5,277.5,Poor,2015,6,17,2,112.02,1
Mumbai,17-06-2015,215.6,57.1,179.7,123.8,93.9,47.2,3.88,55,39.4,373.6,Very Poor,2015,6,17,2,98.18,1
Chennai,17-06-2015,24.5,418,42.6,118,5.1,44,0.67,46,189,385,Very Poor,2015,6,17,2,159.1,1
Kolkata,17-06-2015,235.7,65.1,44.2,79.7,172.8,33.1,7.42,18.5,40.6,389,Very Poor,2015,6,17,2,87.92,1
Bangalore,17-06-2015,147.4,186,112.6,145.4,20.7,45.4,6.2,15.8,84.2,321.3,Very Poor,2015,6,17,2,115.76,1
Delhi,18-06-2015,464.1,28.3,16.5,16.8,68.4,18.9,5.1,8.8,105.8,138.6,Moderate,2015,6,18,3,124.76,1
Mumbai,18-06-2015,494.8,37.1,55.3,22.6,150.1,48.5,1.81,30.2,105.9,108.2,Moderate,2015,6,18,3,138.12,1
Chennai,18-06-2015,462.1,172.9,177.9,41.5,101.8,44.2,0.49,53.2,153.6,178.7,Moderate,2015,6,18,3,176.66,1
Kolkata,18-06-2015,174.9,148,24,86.6,137.6,23.3,2.72,9.3,56.3,342.4,Very Poor,2015,6,18,3,95.02,1
Bangalore,18-06-2015,196.8,451.4,39.7,1.2,245.2,13.2,7.66,26.5,184.3,430.3,Severe,2015,6,18,3,172.04,1
Delhi,19-06-2015,220.1,172.7,18.1,53.5,41.5,49.3,3.37,22.4,118.8,377.1,Very Poor,2015,6,19,4,117.5,1
Mumbai,19-06-2015,35,306.2,68.4,31,27.9,30.4,1.14,71.7,156,256.2,Poor,2015,6,19,4,119.98,1
Chennai,19-06-2015,433.7,144,157.2,11.5,180.6,29.5,9.01,57.8,180.8,231,Poor,2015,6,19,4,165.56,1
Kolkata,19-06-2015,301.1,416.4,95.7,75.9,249.1,12.4,0.86,88,46.6,451.1,Severe,2015,6,19,4,185.6,1
Bangalore,19-06-2015,227.3,169.2,49.7,114,64.1,25.2,0.12,99.6,64.6,382.6,Very Poor,2015,6,19,4,134.94,1
Delhi,20-06-2015,332.9,513.6,95.8,137.6,67.5,38.1,1.66,1,77.7,482.9,Severe,2015,6,20,5,212.56,1
Mumbai,20-06-2015,103.8,154.7,105.7,105.9,137.1,3.1,6.88,41.2,72.3,244.7,Poor,2015,6,20,5,95.58,1
Chennai,20-06-2015,381.3,437.1,83.6,110.4,239.5,11.6,8.59,89.1,52,409.8,Severe,2015,6,20,5,213.98,1
Kolkata,20-06-2015,322.6,361.8,3.4,102,228.2,6.5,1.69,10.7,55.9,472.6,Severe,2015,6,20,5,170.6,1
Bangalore,20-06-2015,481.3,470.6,3.4,18.1,225.7,6.3,3.67,25.9,75.8,457.8,Severe,2015,6,20,5,214.34,1
Delhi,21-06-2015,309.8,310.3,43.6,30.1,107.8,43.6,4.89,5.1,49.4,459.8,Severe,2015,6,21,6,140.94,1
Mumbai,21-06-2015,55.5,312.2,107.7,66.6,53.8,28.7,5.49,11.6,50.3,262.2,Poor,2015,6,21,6,99.24,1
Chennai,21-06-2015,196.3,468.1,89.4,18.1,159.6,20.1,5.55,27.4,198.7,454.2,Severe,2015,6,21,6,181.72,1
Kolkata,21-06-2015,196.5,77.1,129,104.3,141.6,26.6,6.76,67.7,178.4,358.9,Very Poor,2015,6,21,6,124.8,1
Bangalore,21-06-2015,92.7,93.4,99.3,125.4,45.3,25.1,2.86,74.2,186.1,244.4,Poor,2015,6,21,6,114.36,1
Delhi,22-06-2015,36.8,330.2,17.6,4.6,131.8,7.2,5.53,0.6,53.6,280.2,Poor,2015,6,22,0,85.16,1
Mumbai,22-06-2015,133.7,198.6,132.4,88.2,114.2,27.4,8.77,7.8,93.1,310.7,Very Poor,2015,6,22,0,104.28,1
Chennai,22-06-2015,490.3,232.1,16.4,41.4,26.1,37.5,6.22,14.2,115.2,188.1,Moderate,2015,6,22,0,178.64,1
Kolkata,22-06-2015,182.4,576.7,27.9,52.1,185.4,0.1,5.19,87.6,110.8,348.1,Very Poor,2015,6,22,0,201.92,1
Bangalore,22-06-2015,290.1,384.6,86.7,144.6,129.9,48.9,0.44,74.4,98.1,440.1,Severe,2015,6,22,0,198.36,1
Delhi,23-06-2015,63.6,515,197.4,49.7,207.5,2.7,7.15,0.7,96.5,164.3,Moderate,2015,6,23,1,145.1,1
Mumbai,23-06-2015,95.4,388.5,178.9,106.5,236.6,12.6,1.69,12.4,92.4,348,Very Poor,2015,6,23,1,139.04,1
Chennai,23-06-2015,166.4,434.7,54.6,119.2,187.5,21.2,3.74,64,196.7,406.3,Severe,2015,6,23,1,196.2,1
Kolkata,23-06-2015,100.4,323.2,22.7,130.3,112.7,3.1,1.28,28.5,104.6,273.2,Poor,2015,6,23,1,137.4,1
Bangalore,23-06-2015,479.7,346.6,67.1,80.6,37.8,35.1,7.4,31.4,132.3,296.6,Poor,2015,6,23,1,214.12,1
Delhi,24-06-2015,172,62.6,138.2,67.5,222,30.2,0.79,27.1,85.8,340.1,Very Poor,2015,6,24,2,83,1
Mumbai,24-06-2015,52.1,295.9,153.2,51.8,124.7,8.9,4.45,12.9,54.2,245.9,Poor,2015,6,24,2,93.38,1
Chennai,24-06-2015,265.3,367.4,180.8,70.3,31.2,34.9,6.92,15.8,80.4,415.3,Severe,2015,6,24,2,159.84,1
Kolkata,24-06-2015,206.1,368.1,90.4,56.9,154.8,7.2,5.97,55,77.6,366.3,Very Poor,2015,6,24,2,152.74,1
Bangalore,24-06-2015,375,525.8,22.3,19,216.1,17.6,6.39,94.9,91.2,154.8,Moderate,2015,6,24,2,221.18,1
Delhi,25-06-2015,405.8,582.9,128.4,109.7,245.6,24.5,6.76,42.8,56.1,159.4,Moderate,2015,6,25,3,239.46,1
Mumbai,25-06-2015,185,99.6,65.7,99.5,245.8,7,3.83,77.1,7.7,350.1,Very Poor,2015,6,25,3,93.78,1
Chennai,25-06-2015,298.3,538.3,131,7.7,171.8,9.8,8.6,35.2,99.9,448.3,Severe,2015,6,25,3,195.88,1
Kolkata,25-06-2015,161.5,547.1,121.9,61.3,4.5,6.8,6.6,92.5,130.3,332.1,Very Poor,2015,6,25,3,198.54,1
Bangalore,25-06-2015,4.9,240.8,53.1,1.5,226,37.1,4.19,19.5,27,193.9,Moderate,2015,6,25,3,58.74,-1
Delhi,26-06-2015,11.5,189.9,132.8,135.4,11,49.1,5.44,83.4,159.5,187.4,Moderate,2015,6,26,4,115.94,1
Mumbai,26-06-2015,34.3,285.7,21.7,127,231,44,3.78,45,113.9,235.7,Poor,2015,6,26,4,121.18,1
Chennai,26-06-2015,288.3,186,113.3,48.9,222.1,13,1.63,42.5,45,438.3,Severe,2015,6,26,4,122.14,1
Kolkata,26-06-2015,5.4,303.4,95.8,74,10.1,19.8,9.95,74.3,160.2,253.4,Poor,2015,6,26,4,123.46,1
Bangalore,26-06-2015,449.5,282.6,159.6,12,221,34.7,0.37,85,125.1,232.6,Poor,2015,6,26,4,190.84,1
Delhi,27-06-2015,489.2,479,88.9,68.3,1.7,33.2,3.21,34,178.9,469.9,Severe,2015,6,27,5,249.88,1
Mumbai,27-06-2015,441.6,247.7,176.2,141.8,35.9,27.9,4.14,64.3,199.9,279.4,Poor,2015,6,27,5,219.06,1
Chennai,27-06-2015,362.7,161.9,145.8,46.4,101,43.9,5.83,20.6,194,264.5,Poor,2015,6,27,5,157.12,1
Kolkata,27-06-2015,45,366.2,81.6,9.3,72.7,11.1,6.12,16,45,320,Very Poor,2015,6,27,5,96.3,1
Bangalore,27-06-2015,347,63.5,33.4,29.4,223.1,44.4,6.71,88.3,9.3,497,Severe,2015,6,27,5,107.5,1
Delhi,28-06-2015,270.3,112.9,118.1,80.4,226.4,27.9,5.15,42.4,171,420.3,Severe,2015,6,28,6,135.4,1
Mumbai,28-06-2015,17.6,227,154.9,104.8,245.3,1.6,2.46,35.5,122.7,184.7,Moderate,2015,6,28,6,101.52,1
Chennai,28-06-2015,117,238.8,94,131.1,103.6,25.3,5.61,57.2,38,289.8,Poor,2015,6,28,6,116.42,1
Kolkata,28-06-2015,49.3,89.8,82.8,80.2,226,5.5,9.76,16.8,137.2,197,Moderate,2015,6,28,6,74.66,1
Bangalore,28-06-2015,494.9,408,46.9,119.8,94.9,23.9,5.71,99,140.1,372.4,Very Poor,2015,6,28,6,252.36,1
Delhi,29-06-2015,429.1,300,60.5,132,174.9,2.4,5.31,31.5,89,250,Poor,2015,6,29,0,196.32,1
Mumbai,29-06-2015,336.9,199,149.6,49,149,23.4,3.87,87.2,85.5,486.9,Severe,2015,6,29,0,151.52,1
Chennai,29-06-2015,203.1,295.8,89.6,146,13.9,31.5,2.6,40.8,79.1,364,Very Poor,2015,6,29,0,152.96,1
Kolkata,29-06-2015,355.9,515.1,90.8,82.3,87,36.8,2.79,53.9,173.2,211.7,Poor,2015,6,29,0,236.08,1
Bangalore,29-06-2015,374.9,129.9,50.9,143.7,244.6,16.8,7.33,9.2,21.9,166.5,Moderate,2015,6,29,0,135.92,1
Delhi,30-06-2015,121.3,237.7,187.2,111.3,117.5,48.6,8.79,48,167.1,301.2,Very Poor,2015,6,30,1,137.08,1
Mumbai,30-06-2015,480.5,174.5,196.3,129,216.6,37.5,5.08,97,169.4,202,Poor,2015,6,30,1,210.08,1
Chennai,30-06-2015,187.6,508.2,182.1,69.7,82.9,40.2,6.11,39.4,101.3,352.1,Very Poor,2015,6,30,1,181.24,1
Kolkata,30-06-2015,328,510.6,159.2,108.3,238.7,13.5,0.67,1.2,32.5,478,Severe,2015,6,30,1,196.12,1
Bangalore,30-06-2015,199.5,375.2,5.8,98.6,170.7,7.2,9.02,20.2,17.9,361.2,Very Poor,2015,6,30,1,142.28,1
Delhi,01-07-2015,196.1,523.1,80.7,117.8,24.3,5.9,5.38,0.8,145.2,358.6,Very Poor,2015,7,1,2,196.6,1
Mumbai,01-07-2015,16.6,454.6,147.1,94.1,20.3,42.5,9.63,35.9,73.4,434.9,Severe,2015,7,1,2,134.92,1
Chennai,01-07-2015,7.7,500.3,95.5,115.4,58.2,41.6,8.82,43,122.1,185.2,Moderate,2015,7,1,2,157.7,1
Kolkata,01-07-2015,293.6,363.5,141.9,64.5,185.9,39.8,7.11,98.5,96.9,443.6,Severe,2015,7,1,2,183.4,1
Bangalore,01-07-2015,338.8,227.7,190.2,100.8,40.7,17,2.87,39.5,19.8,488.8,Severe,2015,7,1,2,145.32,1
Delhi,02-07-2015,210.4,104.2,160.8,16.6,139.2,48.4,4.71,84.7,111.4,369.6,Very Poor,2015,7,2,3,105.46,1
Mumbai,02-07-2015,157.5,480.8,6.3,113.8,201.1,49.3,1.23,7.7,109.6,472.5,Severe,2015,7,2,3,173.88,1
Chennai,02-07-2015,393.6,448.9,26.5,132,138.9,24.9,7.36,87.5,106.1,426.7,Severe,2015,7,2,3,233.62,1
Kolkata,02-07-2015,338.2,599.1,157.5,88.1,173.6,8.8,1.62,41.4,53.4,488.2,Severe,2015,7,2,3,224.04,1
Bangalore,02-07-2015,140,278.5,52.6,106,52.6,42,5.35,24.8,155.4,315.6,Very Poor,2015,7,2,3,140.94,1
Delhi,03-07-2015,352,95.2,16.7,139.6,201.2,40.8,6.53,3.2,174.6,215.2,Poor,2015,7,3,4,152.92,1
Mumbai,03-07-2015,50.1,207.3,29.6,137.3,91.3,19.1,4.2,28.2,40.1,171.6,Moderate,2015,7,3,4,92.6,1
Chennai,03-07-2015,409.5,160.8,194.7,88,198,38.9,7.87,49.3,43.1,173.3,Moderate,2015,7,3,4,150.14,1
Kolkata,03-07-2015,198,340.1,81.5,148.1,158.7,40.8,3.87,21.9,96,360.1,Very Poor,2015,7,3,4,160.82,1
Bangalore,03-07-2015,334.8,166.6,174,26.1,204.2,42.9,8.67,87,197.6,484.8,Severe,2015,7,3,4,162.42,1
Delhi,04-07-2015,182.2,197.9,52.5,40,67.6,26.7,8.14,19.6,31.9,348,Very Poor,2015,7,4,5,94.32,1
Mumbai,04-07-2015,115.9,374.4,52.2,62.3,128.7,45,4.91,21.7,150.1,330.3,Very Poor,2015,7,4,5,144.88,1
Chennai,04-07-2015,93.9,105.5,142.7,119.1,54,0.3,6.91,59.9,165.4,210.9,Poor,2015,7,4,5,108.76,1
Kolkata,04-07-2015,316.6,413.1,186.5,135.2,95.1,11.9,3.49,90.7,60.9,466.6,Severe,2015,7,4,5,203.3,1
Bangalore,04-07-2015,87.7,206.9,37.8,45.1,179.7,42.8,6.44,14.9,65.9,192.1,Moderate,2015,7,4,5,84.1,1
Delhi,05-07-2015,285.8,150.8,1.4,142.5,31.9,3.7,7.31,65.5,198.9,435.8,Severe,2015,7,5,6,168.7,1
Mumbai,05-07-2015,9,336,189.6,104.2,244.9,23.3,9.04,89.7,22.6,286,Poor,2015,7,5,6,112.3,1
Chennai,05-07-2015,10.5,252.8,99.5,38.1,126.3,13,8.7,94.9,3.3,202.8,Poor,2015,7,5,6,79.92,1
Kolkata,05-07-2015,221.6,167.6,147.8,112.2,245,39.2,8.92,39.6,180.3,378.2,Very Poor,2015,7,5,6,144.26,1
Bangalore,05-07-2015,425.2,231.4,112.4,71.5,8.4,12.9,8.12,69.9,17.6,187.6,Moderate,2015,7,5,6,163.12,1
Delhi,06-07-2015,199,167.9,161.9,10.8,78.7,46.4,7.47,92.6,96.7,360.9,Very Poor,2015,7,6,0,113.4,1
Mumbai,06-07-2015,123.3,2.9,152.7,147.2,52.7,31.5,0.04,45.8,133.8,302.8,Very Poor,2015,7,6,0,90.6,1
Chennai,06-07-2015,302.6,347.6,53.8,20.7,240.2,33.6,5.54,54.2,16.5,452.6,Severe,2015,7,6,0,148.32,1
Kolkata,06-07-2015,473.7,104.8,60.1,37.9,182.1,2,3.26,29.3,81.6,115.5,Moderate,2015,7,6,0,145.46,1
Bangalore,06-07-2015,443,599.5,158.3,33.1,126.2,38.7,4.67,13.5,135.4,151.8,Moderate,2015,7,6,0,244.9,-1
Delhi,07-07-2015,262.3,406.3,137,12.3,5.1,12,5.39,55.3,133.9,412.3,Severe,2015,7,7,1,174.02,1
Mumbai,07-07-2015,414.3,27.3,140.4,121,179.9,30.2,3.85,33.4,91.6,141,Moderate,2015,7,7,1,137.52,1
Chennai,07-07-2015,489.6,249.8,196.4,148.6,2.1,2.5,9.54,80.1,13.6,199.9,Moderate,2015,7,7,1,196.34,1
Kolkata,07-07-2015,331.9,170,119.8,56.5,24.6,46.9,1.14,10.7,77.1,481.9,Severe,2015,7,7,1,129.24,1
Bangalore,07-07-2015,33.1,478.5,62.7,39.9,228.6,16.9,3.25,32.6,83.4,469.2,Severe,2015,7,7,1,133.5,1
Delhi,08-07-2015,101.2,250.7,192.5,22.9,168.2,45.1,1.83,93.4,145.5,235.8,Poor,2015,7,8,2,122.74,1
Mumbai,08-07-2015,129.5,157.8,147.7,43.9,174.7,17.2,0.79,82.1,39.3,307.5,Very Poor,2015,7,8,2,90.52,1
Chennai,08-07-2015,125.8,527,85.5,135.9,113.5,20.9,6.14,89.3,33.1,304.7,Very Poor,2015,7,8,2,182.22,1
Kolkata,08-07-2015,58.6,71.7,169.3,12.8,67.4,34.7,7.53,2.7,141.4,169,Moderate,2015,7,8,2,57.44,1
Bangalore,08-07-2015,248.6,542.7,54.2,56.6,176.2,37.1,1.22,61.3,69.6,398.9,Very Poor,2015,7,8,2,195.76,1
Delhi,09-07-2015,343.1,112.2,11.7,81.4,52.8,46.1,9.79,69.6,120.9,493.1,Severe,2015,7,9,3,145.44,1
Mumbai,09-07-2015,400.7,426.3,139.5,105.5,62.8,24.7,8.05,20.6,164.3,395.4,Very Poor,2015,7,9,3,223.48,1
Chennai,09-07-2015,77.7,158.9,191.9,4.8,40.5,30.1,0.51,36.4,127.9,158,Moderate,2015,7,9,3,81.14,1
Kolkata,09-07-2015,347.5,518.1,114.3,125.2,110.3,49.4,6.43,9.2,87.5,497.5,Severe,2015,7,9,3,217.5,1
Bangalore,09-07-2015,126.5,138.6,70,127,84.3,48.8,7.6,3.1,17,305.2,Very Poor,2015,7,9,3,82.44,1
Delhi,10-07-2015,50.2,175.3,50.1,26.1,162.6,14.2,4.44,87.7,131.8,150.4,Moderate,2015,7,10,4,94.22,1
Mumbai,10-07-2015,90.6,286,61.8,111.1,231.7,14.1,8.54,50.6,176.3,236,Poor,2015,7,10,4,142.92,1
Chennai,10-07-2015,198,500.1,94.1,118,167.1,18.4,2.96,63,86,360.1,Very Poor,2015,7,10,4,193.02,1
Kolkata,10-07-2015,84.4,392.6,185.4,1,179.6,34,4.24,4,194.7,353.1,Very Poor,2015,7,10,4,135.34,1
Bangalore,10-07-2015,316.7,130.3,142.2,67.2,88.2,38,7.52,85.6,42.4,466.7,Severe,2015,7,10,4,128.44,1
Delhi,11-07-2015,116.1,254.8,162.1,79.1,234.9,3.1,3.2,96.5,48.9,286.7,Poor,2015,7,11,5,119.08,1
Mumbai,11-07-2015,170.2,324.8,140.5,30.7,60.1,12.7,5.37,58.3,126,338.8,Very Poor,2015,7,11,5,142,1
Chennai,11-07-2015,6.4,428.2,158.4,9,134.8,47.5,2.5,5.5,54.3,397.7,Very Poor,2015,7,11,5,100.68,1
Kolkata,11-07-2015,47.2,470.7,63.3,120.9,33.1,39.5,9.38,86,177.3,458,Severe,2015,7,11,5,180.42,1
Bangalore,11-07-2015,84.1,459.9,136.1,64.3,198.3,35,4.9,52.5,6.2,442.5,Severe,2015,7,11,5,133.4,1
Delhi,12-07-2015,425.2,591.1,56,144.8,59.7,33.6,1.83,74.8,180.2,229.4,Poor,2015,7,12,6,283.22,-1
Mumbai,12-07-2015,280.5,367.9,24.6,80.1,164.5,28.2,3.99,79.6,99.3,430.5,Severe,2015,7,12,6,181.48,1
Chennai,12-07-2015,184.3,320.8,70.4,27.2,168.1,16.8,3.79,79,121.9,349.6,Very Poor,2015,7,12,6,146.64,1
Kolkata,12-07-2015,339.7,566.5,64.5,54.3,222.6,23.6,8.47,84.5,182.8,489.7,Severe,2015,7,12,6,245.56,1
Bangalore,12-07-2015,17.2,54.5,48.7,41.7,129.2,30.8,7.63,28.5,63.3,170.3,Moderate,2015,7,12,6,41.04,1
Delhi,13-07-2015,315,294.8,14.5,125,182.4,31.1,7.75,18.8,117.5,465,Severe,2015,7,13,0,174.22,1
Mumbai,13-07-2015,464.6,355.7,71.2,30.8,245.9,13.7,0.65,77.1,170.9,306.9,Very Poor,2015,7,13,0,219.82,1
Chennai,13-07-2015,334.4,158.7,42.6,119.3,172.5,47.8,7.94,66.1,4,484.4,Severe,2015,7,13,0,136.5,1
Kolkata,13-07-2015,19.4,270.1,181.4,20.5,133.7,45.4,2.74,58.7,43.7,220.1,Poor,2015,7,13,0,82.48,1
Bangalore,13-07-2015,467.1,66.3,196.8,71.5,88.8,7.3,4.03,90.1,126.7,139,Moderate,2015,7,13,0,164.34,1
Delhi,14-07-2015,354,237.8,119.6,77.9,117.6,41.6,1.52,11.3,104,191.9,Moderate,2015,7,14,1,157,1
Mumbai,14-07-2015,39.9,337.5,62.8,132.3,29.8,12.5,4.84,12.3,166.5,287.5,Poor,2015,7,14,1,137.7,1
Chennai,14-07-2015,432.5,439.7,136.6,10.9,232.2,30,1.91,28.4,29.3,413.5,Severe,2015,7,14,1,188.16,1
Kolkata,14-07-2015,198.3,488.5,18.1,133.5,12.2,38.1,8.59,26.1,122.9,483.5,Severe,2015,7,14,1,193.86,1
Bangalore,14-07-2015,252.8,103.9,187.5,81.5,199.2,20.7,6.58,66.7,27.2,402.8,Severe,2015,7,14,1,106.42,1
Delhi,15-07-2015,494.5,316.2,194.4,6.4,98.3,2.7,2.35,79.4,35,266.2,Poor,2015,7,15,2,186.3,1
Mumbai,15-07-2015,365.3,211.2,102,15.4,156.2,47.3,8.34,63.2,2.1,179.2,Moderate,2015,7,15,2,131.44,1
Chennai,15-07-2015,160.3,221.7,143,31.1,38,3.8,4.6,76.7,62.1,331.2,Very Poor,2015,7,15,2,110.38,1
Kolkata,15-07-2015,408.9,491.5,55.3,88.9,65.6,37.2,4.81,68.7,125.9,487.8,Severe,2015,7,15,2,236.78,1
Bangalore,15-07-2015,383.9,572.8,151.1,62.8,36.7,31.2,9.5,16.7,84.8,193.7,Moderate,2015,7,15,2,224.2,1
Delhi,16-07-2015,181.6,269.3,1.8,41.6,102.4,15.5,2.46,86.1,54.2,347.5,Very Poor,2015,7,16,3,126.56,1
Mumbai,16-07-2015,238.3,247.3,87.9,3.2,102.9,44.6,3.07,54.8,67.7,391,Very Poor,2015,7,16,3,122.26,1
Chennai,16-07-2015,9.2,30.3,39.3,97.6,44,16.1,0.22,53.2,29.3,117.6,Moderate,2015,7,16,3,43.92,-1
Kolkata,16-07-2015,486.1,9.8,78.9,115.8,222.2,38,4.98,76.8,140.1,158.8,Moderate,2015,7,16,3,165.72,1
Bangalore,16-07-2015,76.2,165.3,90.6,39.3,39.9,15.1,6.14,85.3,176.4,219.8,Poor,2015,7,16,3,108.5,1
Delhi,17-07-2015,416.8,23.5,151.8,118,36.1,41.6,3.98,89.5,177.5,222.6,Poor,2015,7,17,4,165.06,1
Mumbai,17-07-2015,358.3,135,117.5,119.4,116.2,49.2,3.38,94.2,18.7,139.4,Moderate,2015,7,17,4,145.12,1
Chennai,17-07-2015,249.6,454.1,1.7,123.6,136,32.6,3.5,86.4,67.8,434.1,Severe,2015,7,17,4,196.3,1
Kolkata,17-07-2015,321.7,148.4,105.9,69.6,119.7,11.6,6.5,80.9,108.3,471.7,Severe,2015,7,17,4,145.78,1
Bangalore,17-07-2015,410.2,64.3,21.8,136.8,145,39.9,1.58,25.5,165.9,196.9,Moderate,2015,7,17,4,160.54,1
Delhi,18-07-2015,295.7,184.3,146.9,74.2,144.1,11.9,2,34,165,445.7,Severe,2015,7,18,5,150.64,1
